target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
HRH2,P25021,CHEMBL1941,CHEMBL953176,CHEMBL471413,N=C(NCCCc1c[nH]cn1)NC(=O)CC(c1ccccc1)c1ccccc1,EC50,78.0,nM,=,7.11
HRH2,P25021,CHEMBL1941,CHEMBL953176,CHEMBL472441,N=C(NCCCc1c[nH]cn1)NC(=O)CC(c1ccccc1)c1nccs1,EC50,120.0,nM,=,6.92
HRH2,P25021,CHEMBL1941,CHEMBL953176,CHEMBL483406,CC(CC(=O)/N=C(\N)NCCCc1c[nH]cn1)c1ccccc1,EC50,67.0,nM,=,7.17
HRH2,P25021,CHEMBL1941,CHEMBL953176,CHEMBL502339,CC(CC(=O)NC(=N)NCCCc1c[nH]cn1)c1cccs1,EC50,109.0,nM,=,6.96
HRH2,P25021,CHEMBL1941,CHEMBL951435,CHEMBL519240,Nc1nc2c(c(N3CCNCC3)n1)CCC1=C2[C@@H]2CCCC[C@@H]2O1,Ki,9120.11,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL951435,CHEMBL129198,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,Ki,8511.38,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL952292,CHEMBL519240,Nc1nc2c(c(N3CCNCC3)n1)CCC1=C2[C@@H]2CCCC[C@@H]2O1,Inhibition,37.0,%,=,
HRH2,P25021,CHEMBL1941,CHEMBL950509,CHEMBL519240,Nc1nc2c(c(N3CCNCC3)n1)CCC1=C2[C@@H]2CCCC[C@@H]2O1,Activity,63.4,%,=,
HRH2,P25021,CHEMBL1941,CHEMBL947354,CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,IC50,180.0,nM,=,6.75
HRH2,P25021,CHEMBL1941,CHEMBL947354,CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,Ki,170.0,nM,=,6.77
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL90,NCCc1c[nH]cn1,EC50,1202.26,nM,=,5.92
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL483406,CC(CC(=O)/N=C(\N)NCCCc1c[nH]cn1)c1ccccc1,EC50,67.61,nM,=,7.17
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL325327,N=C(N)NCCCc1c[nH]cn1,EC50,2570.4,nM,=,5.59
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL474447,N/C(=N\C(=O)Cc1c[nH]c2ccccc12)NCCCc1c[nH]cn1,EC50,36.31,nM,=,7.44
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL514641,N/C(=N\C(=O)CCc1c[nH]c2ccccc12)NCCCc1c[nH]cn1,EC50,81.28,nM,=,7.09
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL474448,N/C(=N\C(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,EC50,288.4,nM,=,6.54
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL474449,N/C(=N\C(=O)CNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,EC50,954.99,nM,=,6.02
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL515428,N/C(=N\C(=O)CCNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,EC50,83.18,nM,=,7.08
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL474617,CN(CCC(=O)/N=C(\N)NCCCc1c[nH]cn1)C(=O)c1cc2ccccc2[nH]1,EC50,346.74,nM,=,6.46
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL475620,N/C(=N\C(=O)CCCNC(=O)c1cc2ccccc2[nH]1)NCCCc1c[nH]cn1,EC50,30.2,nM,=,7.52
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL443896,CC(=O)/N=C(\N)NCCCc1c[nH]cn1,EC50,724.44,nM,=,6.14
HRH2,P25021,CHEMBL1941,CHEMBL1015352,CHEMBL475621,CCC(=O)/N=C(\N)NCCCc1c[nH]cn1,EC50,371.54,nM,=,6.43
