target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5773193,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)cc6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5773193,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)cc6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5863483,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5863483,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5916684,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)s1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5916684,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)s1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5912767,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(OC(C)C)cc6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5912767,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(OC(C)C)cc6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5966444,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc(OC(C)C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5966444,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc(OC(C)C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5869814,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc(OC(C)C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5869814,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc(OC(C)C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6026049,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6026049,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6057196,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6057196,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6006702,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccnc(OC)c6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6006702,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccnc(OC)c6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5784477,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccnc(C(F)(F)F)c5)cc34)CC2)[nH]c1-c1ccccc1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5784477,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccnc(C(F)(F)F)c5)cc34)CC2)[nH]c1-c1ccccc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5980621,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cccc(C(F)(F)F)c5)cc34)CC2)[nH]c1-c1ccccc1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5980621,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cccc(C(F)(F)F)c5)cc34)CC2)[nH]c1-c1ccccc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5852120,CCOc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5852120,CCOc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5874188,COCc1cc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5874188,COCc1cc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5818582,CCc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5818582,CCc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5942588,COc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5942588,COc1ccc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6048706,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)ccc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6048706,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5869779,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)c(OC)c6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,150000.0,nM,=,
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5869779,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)c(OC)c6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6051918,COc1cc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6051918,COc1cc(-c2[nH]c(C3(C)CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
