keyword,assay_chembl_id,assay_description,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value
RBL-2H3,CHEMBL872007,Inhibitory activity against TNF-alpha production in RBL-2H3 cells was determined,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,5800.0,nM,=,,5.24
RBL-2H3,CHEMBL872007,Inhibitory activity against TNF-alpha production in RBL-2H3 cells was determined,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,IC50,17000.0,nM,=,,4.77
RBL-2H3,CHEMBL872007,Inhibitory activity against TNF-alpha production in RBL-2H3 cells was determined,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,IC50,5800.0,nM,=,,5.24
RBL-2H3,CHEMBL769869,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 0 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,0.0,%,=,,
RBL-2H3,CHEMBL769869,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 0 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,0.0,%,=,,
RBL-2H3,CHEMBL769869,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 0 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,0.0,%,=,,
RBL-2H3,CHEMBL769870,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 10 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,89.4,%,=,,
RBL-2H3,CHEMBL769870,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 10 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,45.9,%,=,,
RBL-2H3,CHEMBL769870,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 10 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,45.9,%,=,,
RBL-2H3,CHEMBL769871,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 100 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,99.9,%,=,,
RBL-2H3,CHEMBL769871,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 100 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,99.9,%,=,,
RBL-2H3,CHEMBL769872,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 3 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,41.6,%,=,,
RBL-2H3,CHEMBL769872,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 3 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,39.4,%,=,,
RBL-2H3,CHEMBL769872,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 3 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,39.4,%,=,,
RBL-2H3,CHEMBL769873,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 30 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,99.2,%,=,,
RBL-2H3,CHEMBL769873,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 30 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,98.1,%,=,,
RBL-2H3,CHEMBL769873,Percentage inhibition against antigen-induced IL-4 production in RBL-2H3 cells at 30 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,98.1,%,=,,
RBL-2H3,CHEMBL769874,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 0 uM concentration,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,0.0,%,=,,
RBL-2H3,CHEMBL769874,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 0 uM concentration,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,Inhibition,0.0,%,=,,
RBL-2H3,CHEMBL769874,Percentage inhibition against antigen-induced TNF-alpha production in RBL-2H3 cells at 0 uM concentration,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,Inhibition,0.0,%,=,,
