name,smiles,category,source,composite_score,score_KEAP1,has_warhead,warheads,vina_kcal_per_mol,vina_n_poses,vina_status,vina_time_s,heavy_atoms,vina_ligand_efficiency
GEN_0036,CS(=O)CCCSC#N,remission,reinvent_generated,0.4244,0.4194,True,thiocyanate,-3.83,5,ok,0.6,9,-0.426
GEN_0006,CSCCCCCN=C=S,remission,reinvent_generated,0.4549,0.9545,True,isothiocyanate,-3.818,5,ok,0.8,10,-0.382
Iberin,CS(=O)CCCN=C=S,remission,library,0.5143,1.0,True,isothiocyanate,-3.815,5,ok,0.6,9,-0.424
GEN_0005,CS(=O)CCCN=C=S,remission,reinvent_generated,0.4592,1.0,True,isothiocyanate,-3.815,5,ok,0.6,9,-0.424
GEN_0020,CSCCCCSC#N,remission,reinvent_generated,0.4262,0.4444,True,thiocyanate,-3.791,5,ok,0.7,9,-0.421
Erucin,CSCCCCN=C=S,remission,library,0.6318,1.0,True,isothiocyanate,-3.699,5,ok,0.7,9,-0.411
GEN_0002,CSCCCCN=C=S,remission,reinvent_generated,0.4566,1.0,True,isothiocyanate,-3.699,5,ok,0.7,9,-0.411
GEN_0009,CSCCCN=C=S,remission,reinvent_generated,0.4463,0.8636,True,isothiocyanate,-3.442,5,ok,0.6,8,-0.43
Allyl isothiocyanate,C=CCN=C=S,remission,library,0.4376,1.0,True,isothiocyanate,-3.161,5,ok,0.4,6,-0.527
Avapritinib,CC1(C)OB(O)c2cc(CNC(=O)c3ccc(C4=NO[C@](c5cc(Cl)c(F)c(Cl)c5)(C(F)(F)F)C4)n4cccc34)ccc21,remission,library,0.4335,0.1385,False,,,,"vina returned 1: 

PDBQT parsing error: Atom type B is not a",,43,
