smiles,tanimoto_to_SFN,best_seed_match,qed,sa_score_proxy,lipinski_pass,mw,logp,composite_score,seed,source
CS(=O)(=O)CCCCCN=C=S,0.4516,Sulforaphane,0.3746,1.24,True,207.32,1.3,0.5251,Sulforaphane,local_brics_bioisostere
CS(=O)Cc1ccc(C#N)cc1,0.2105,Sulforaphane,0.6889,2.74,True,179.24,1.44,0.5211,Sulforaphane,local_brics_bioisostere
CS(=O)(=O)Cc1ccc(N=C=S)cc1,0.2703,Benzyl_isothiocyanate,0.5856,2.08,True,227.31,1.97,0.5183,Sulforaphane,local_brics_bioisostere
CS(=O)Cc1ccc(N=C=S)cc1,0.3243,Sulforaphane,0.5669,2.76,True,211.31,2.3,0.5174,Sulforaphane,local_brics_bioisostere
CCS(=O)CCCCC#N,0.2571,Sulforaphane,0.5696,1.9,True,159.25,1.45,0.5107,Sulforaphane,local_brics_bioisostere
CCS(=O)CCc1ccc(N=C=S)cc1,0.2927,Phenethyl_isothiocyanate,0.5838,2.8,True,239.37,2.73,0.5106,Sulforaphane,local_brics_bioisostere
CSCc1ccc(N=C=S)cc1,0.2857,Erucin,0.5418,2.04,True,195.31,3.28,0.5079,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1cccc(CCN=C=S)c1,0.5,Phenethyl_isothiocyanate,0.3739,2.92,True,338.52,3.12,0.5069,Sulforaphane,local_brics_bioisostere
CS(=O)CCc1ccc(SC#N)cc1,0.275,Sulforaphane,0.5823,2.78,True,225.34,2.18,0.5034,Sulforaphane,local_brics_bioisostere
CCS(=O)Cc1ccc(N=C=S)cc1,0.2632,Benzyl_isothiocyanate,0.5822,2.78,True,225.34,2.69,0.4986,Sulforaphane,local_brics_bioisostere
CCS(=O)/C=C/CCSC#N,0.3,Sulforaphene,0.4895,1.92,True,189.3,1.87,0.4954,Sulforaphene,local_brics_bioisostere
CS(=O)(=O)/C=C/CCC#N,0.175,Sulforaphene,0.5734,1.2,True,159.21,0.85,0.4949,Sulforaphene,local_brics_bioisostere
CCS(=O)CCCC#N,0.2286,Sulforaphane,0.5549,1.88,True,145.23,1.06,0.4938,Iberin,local_brics_bioisostere
C=CCC#N,0.3182,Allyl_isothiocyanate,0.4209,1.1,True,67.09,1.09,0.4934,Allyl_isothiocyanate,local_brics_bioisostere
O=S(CCCN=C=S)CCc1ccccc1CN=C=S,0.425,Iberin,0.3981,2.9,True,324.5,3.07,0.487,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1cccc(CN=C=S)c1,0.425,Benzyl_isothiocyanate,0.3981,2.9,True,324.5,3.07,0.487,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1ccccc1CCN=C=S,0.4474,Iberin,0.3739,2.92,True,338.52,3.12,0.4858,Sulforaphane,local_brics_bioisostere
CS(=O)(=O)CCCCSC#N,0.2286,Erucin,0.483,1.22,True,193.29,1.03,0.4798,Sulforaphane,local_brics_bioisostere
CS(=O)Cc1ccc(SC#N)cc1,0.225,Sulforaphane,0.5679,2.76,True,211.31,2.14,0.478,Sulforaphane,local_brics_bioisostere
CS(=O)(=O)CCCCC#N,0.1351,Sulforaphane,0.5708,1.2,True,161.23,0.72,0.4779,Sulforaphane,local_brics_bioisostere
CCS(=O)CCCCSC#N,0.2703,Sulforaphane,0.4742,1.92,True,191.32,1.75,0.4773,Sulforaphane,local_brics_bioisostere
CS/C=C/CCC#N,0.1538,Sulforaphene,0.5423,1.16,True,127.21,2.17,0.4749,Sulforaphene,local_brics_bioisostere
CS(=O)(=O)/C=C/CCSC#N,0.1905,Sulforaphene,0.4938,1.22,True,191.28,1.15,0.4688,Sulforaphene,local_brics_bioisostere
CS(=O)(=O)CCCC#N,0.1389,Sulforaphane,0.5405,1.18,True,147.2,0.33,0.4678,Iberin,local_brics_bioisostere
CCS(=O)CCCSC#N,0.2432,Sulforaphane,0.4701,1.9,True,177.29,1.36,0.4653,Iberin,local_brics_bioisostere
CS(=O)(=O)CCCSC#N,0.2,Erucin,0.4691,1.2,True,179.27,0.64,0.4632,Iberin,local_brics_bioisostere
CS/C=C/CCSC#N,0.2,Erucin,0.4649,1.18,True,159.28,2.47,0.4619,Sulforaphene,local_brics_bioisostere
C=CCSC#N,0.2308,Allyl_isothiocyanate,0.2965,1.12,True,99.16,1.39,0.4082,Allyl_isothiocyanate,local_brics_bioisostere
CC(=O)Oc1c(CCS(=O)CCCN=C=S)cccc1C(=O)O,0.38,Iberin,0.2397,2.96,True,355.44,2.09,0.4043,Sulforaphane,local_brics_bioisostere
CC(=O)Oc1cc(CCS(=O)CCCN=C=S)ccc1C(=O)O,0.3725,Iberin,0.2397,2.96,True,355.44,2.09,0.4013,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1cc(/C=C/c2cc(O)cc(O)c2)ccc1O,0.36,Iberin,0.2567,3.84,True,403.53,3.76,0.3836,Sulforaphane,local_brics_bioisostere
CN(C)CCOC(c1ccccc1)c1cccc(CCS(=O)CCCN=C=S)c1,0.3636,Phenethyl_isothiocyanate,0.2721,4.58,True,430.64,4.14,0.3747,Sulforaphane,local_brics_bioisostere
O=S(CCCN=C=S)CCc1cc(O)ccc1/C=C/c1cc(O)cc(O)c1,0.3269,Iberin,0.2567,3.84,True,403.53,3.76,0.3703,Sulforaphane,local_brics_bioisostere
CN(C)CCOC(c1ccccc1)c1ccccc1CCS(=O)CCCN=C=S,0.3158,Iberin,0.2721,4.58,True,430.64,4.14,0.3556,Sulforaphane,local_brics_bioisostere
CN1CCC(=C2c3cc(CCS(=O)CCCN=C=S)ccc3CC(=O)c3sccc32)CC1,0.2727,Iberin,0.3219,4.89,True,484.71,4.8,0.3514,Sulforaphane,local_brics_bioisostere
CN1CCC(=C2c3ccsc3C(=O)Cc3cccc(CCS(=O)CCCN=C=S)c32)CC1,0.2687,Iberin,0.3219,4.89,True,484.71,4.8,0.3498,Sulforaphane,local_brics_bioisostere
O=c1c(CCS(=O)CCCN=C=S)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.2881,Iberin,0.2762,4.6,True,445.52,3.36,0.3457,Sulforaphane,local_brics_bioisostere
O=c1cc(-c2ccc(O)cc2CCS(=O)CCCN=C=S)oc2cc(O)cc(O)c12,0.2787,Iberin,0.2762,4.6,True,445.52,3.36,0.3419,Sulforaphane,local_brics_bioisostere
CCCCC[C@H](O)CC(=O)CCc1cc(OC)c(O)cc1CCS(=O)CCCN=C=S,0.2812,Iberin,0.2032,3.82,True,469.67,4.02,0.3311,Sulforaphane,local_brics_bioisostere
CCCCC[C@H](O)CC(=O)CCc1cc(CCS(=O)CCCN=C=S)c(O)c(OC)c1,0.2727,Iberin,0.2032,3.82,True,469.67,4.02,0.3277,Sulforaphane,local_brics_bioisostere
O=c1c(CCS(=O)CCCN=C=S)c(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0.3051,Phenethyl_isothiocyanate,0.2104,4.6,True,445.52,3.36,0.3262,Sulforaphane,local_brics_bioisostere
O=c1c(O)c(-c2ccc(O)cc2CCS(=O)CCCN=C=S)oc2cc(O)cc(O)c12,0.2787,Iberin,0.2279,4.62,True,461.52,3.07,0.3222,Sulforaphane,local_brics_bioisostere
O=c1c(O)c(-c2ccc(O)c(CCS(=O)CCCN=C=S)c2)oc2cc(O)cc(O)c12,0.2742,Iberin,0.2279,4.62,True,461.52,3.07,0.3204,Sulforaphane,local_brics_bioisostere
O=c1cc(-c2ccccc2CCS(=O)CCCN=C=S)oc2cc(O)c(O)c(O)c12,0.2833,Iberin,0.2104,4.6,True,445.52,3.36,0.3175,Sulforaphane,local_brics_bioisostere
O=c1cc(-c2cc(O)c(O)cc2CCS(=O)CCCN=C=S)oc2cc(O)cc(O)c12,0.3103,Iberin,0.1736,4.62,True,461.52,3.07,0.3131,Sulforaphane,local_brics_bioisostere
O=c1c(CCS(=O)CCCN=C=S)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.3,Iberin,0.1736,4.62,True,461.52,3.07,0.309,Sulforaphane,local_brics_bioisostere
